stuid,time,gpa,female,hsgpa
171,5,2.6,0,2.7
172,0,2.7,1,3.4
172,1,2.8,1,3.4
172,2,3,1,3.4
172,3,2.4,1,3.4
172,4,2.8,1,3.4
172,5,3.2,1,3.4
173,0,2.2,1,3.7
173,1,3.1,1,3.7
173,2,3,1,3.7
173,3,3.4,1,3.7
173,4,3.7,1,3.7
173,5,3.6,1,3.7
174,0,2.8,1,3.2
174,1,2.7,1,3.2
174,2,2.9,1,3.2
174,3,3.2,1,3.2
174,4,3,1,3.2
174,5,3.4,1,3.2
175,0,2.3,0,3.7
175,1,2.9,0,3.7
175,2,3.1,0,3.7
175,3,2.8,0,3.7
175,4,3.4,0,3.7
175,5,3.3,0,3.7
176,0,2.9,0,3.7
176,1,2.7,0,3.7
176,2,2.8,0,3.7
176,3,2.7,0,3.7
176,4,2.6,0,3.7
176,5,2.9,0,3.7
177,0,2.9,0,3.9
177,1,3,0,3.9
177,2,3.1,0,3.9
177,3,2.8,0,3.9
177,4,3.3,0,3.9
177,5,3.4,0,3.9
178,0,2.8,0,3.5
178,1,2.9,0,3.5
178,2,2.8,0,3.5
178,3,3,0,3.5
178,4,2.9,0,3.5
178,5,2.9,0,3.5
179,0,2.7,1,2.8
179,1,3.4,1,2.8
179,2,2.5,1,2.8
179,3,2.8,1,2.8
179,4,2.9,1,2.8
179,5,3.2,1,2.8
180,0,2.9,0,2.3
180,1,2.5,0,2.3
180,2,2.5,0,2.3
180,3,2.5,0,2.3
180,4,2.6,0,2.3
180,5,2.6,0,2.3
181,0,2.3,0,3.2
181,1,2.4,0,3.2
181,2,2.2,0,3.2
181,3,2.6,0,3.2
181,4,2.6,0,3.2
181,5,2.7,0,3.2
182,0,2.7,1,3.7
182,1,3.2,1,3.7
182,2,3.1,1,3.7
182,3,3.1,1,3.7
182,4,3.3,1,3.7
182,5,3.3,1,3.7
183,0,2.7,0,3
183,1,2.5,0,3
183,2,2.7,0,3
183,3,2.3,0,3
183,4,2.6,0,3
183,5,2.6,0,3
184,0,2.3,1,4
184,1,2.8,1,4
184,2,2.8,1,4
184,3,3,1,4
184,4,3.1,1,4
184,5,3.3,1,4
185,0,2.6,1,3.7
185,1,3.1,1,3.7
185,2,3,1,3.7
185,3,3,1,3.7
185,4,3.2,1,3.7
185,5,2.9,1,3.7
186,0,2.2,1,3.4
186,1,2.4,1,3.4
186,2,3,1,3.4
186,3,2.9,1,3.4
186,4,3.2,1,3.4
186,5,3.1,1,3.4
187,0,2.4,1,2.2
187,1,2.2,1,2.2
187,2,2.1,1,2.2
187,3,2.4,1,2.2
187,4,2.8,1,2.2
187,5,2.8,1,2.2
188,0,2.3,1,2.1
188,1,2.7,1,2.1
188,2,3.3,1,2.1
188,3,3.2,1,2.1
188,4,3.1,1,2.1
188,5,3.6,1,2.1
189,0,3.3,0,2.6
189,1,3.3,0,2.6
189,2,2.8,0,2.6
189,3,3,0,2.6
189,4,3.1,0,2.6
189,5,3.1,0,2.6
190,0,1.7,0,3.9
190,1,2.3,0,3.9
190,2,2.7,0,3.9
190,3,2.5,0,3.9
190,4,2.6,0,3.9
190,5,2.8,0,3.9
191,0,2.4,1,2
191,1,2.8,1,2
191,2,2.8,1,2
191,3,3,1,2
191,4,3.1,1,2
191,5,2.9,1,2
192,0,2.9,1,2.9
192,1,3,1,2.9
192,2,2.4,1,2.9
192,3,2.9,1,2.9
192,4,2.8,1,2.9
192,5,2.9,1,2.9
193,0,3.1,0,3
193,1,2.8,0,3
193,2,2.7,0,3
193,3,2.7,0,3
193,4,2.9,0,3
193,5,3.3,0,3
194,0,2.4,0,2.2
194,1,2.4,0,2.2
194,2,2.6,0,2.2
194,3,3.1,0,2.2
194,4,3.4,0,2.2
194,5,3.3,0,2.2
195,0,2.4,0,2.5
195,1,2.7,0,2.5
195,2,2.2,0,2.5
195,3,2.2,0,2.5
195,4,2.4,0,2.5
195,5,2.5,0,2.5
196,0,2.2,1,3.5
196,1,2.5,1,3.5
196,2,2.7,1,3.5
196,3,3.1,1,3.5
196,4,3.3,1,3.5
196,5,3.2,1,3.5
197,0,2.9,1,2.1
197,1,2.5,1,2.1
197,2,2.8,1,2.1
197,3,3.2,1,2.1
197,4,3.3,1,2.1
197,5,3.8,1,2.1
198,0,2.5,0,4
198,1,2.9,0,4
198,2,3,0,4
198,3,3.2,0,4
198,4,3.3,0,4
198,5,3.4,0,4
199,0,2.6,1,2.3
199,1,2.3,1,2.3
199,2,2.7,1,2.3
199,3,2.7,1,2.3
199,4,2.8,1,2.3
199,5,2.8,1,2.3
200,0,2.8,0,3.4
200,1,3.2,0,3.4
200,2,3.4,0,3.4
200,3,3.5,0,3.4
200,4,3.3,0,3.4
200,5,3.4,0,3.4
