"","pupil","class","extrav","sex","texp","popular","popteach"
"671",19,33,6,"Female",3,6.2,7
"672",1,34,6,"Male",8,5.8,4
"673",2,34,5,"Male",8,3.8,3
"674",3,34,8,"Female",8,8.5,8
"675",4,34,7,"Male",8,4.6,5
"676",5,34,6,"Male",8,3.9,5
"677",6,34,5,"Male",8,3.9,4
"678",7,34,6,"Male",8,4.7,4
"679",8,34,7,"Male",8,5.6,6
"680",9,34,4,"Female",8,3.3,4
"681",10,34,6,"Male",8,5.7,5
"682",11,34,6,"Male",8,4.1,5
"683",12,34,4,"Female",8,4.3,4
"684",13,34,5,"Male",8,5.4,5
"685",14,34,5,"Male",8,4.8,5
"686",15,34,3,"Female",8,3.2,4
"687",16,34,6,"Male",8,4.2,4
"688",17,34,5,"Male",8,3.9,5
"689",18,34,7,"Female",8,6.1,6
"690",19,34,6,"Male",8,4.5,5
"691",20,34,5,"Male",8,3.8,3
"692",21,34,6,"Female",8,6.8,6
"693",22,34,5,"Female",8,5,5
"694",1,35,4,"Female",25,6,7
"695",2,35,5,"Female",25,7.5,7
"696",3,35,6,"Female",25,7.9,9
"697",4,35,4,"Female",25,7.8,7
"698",5,35,4,"Female",25,7.9,7
"699",6,35,5,"Female",25,7,8
"700",7,35,6,"Female",25,5.5,8
"701",8,35,4,"Female",25,7,7
"702",9,35,4,"Female",25,6.2,7
"703",10,35,7,"Female",25,7,7
"704",11,35,4,"Female",25,6.6,6
"705",12,35,6,"Female",25,6.8,7
"706",13,35,3,"Female",25,6.8,6
"707",14,35,6,"Female",25,6.8,9
"708",15,35,4,"Female",25,7.4,8
"709",16,35,5,"Female",25,7.5,8
"710",17,35,6,"Female",25,7.1,8
"711",18,35,4,"Female",25,6.7,5
"712",19,35,5,"Female",25,7.3,6
"713",20,35,3,"Female",25,6.7,7
"714",1,36,6,"Female",15,6.3,6
"715",2,36,4,"Male",15,3.9,5
"716",3,36,5,"Male",15,4,4
"717",4,36,4,"Male",15,3.2,4
"718",5,36,6,"Male",15,4.2,5
"719",6,36,3,"Female",15,5,5
"720",7,36,3,"Female",15,5.3,4
"721",8,36,4,"Female",15,5.3,6
"722",9,36,6,"Male",15,5.7,5
"723",10,36,4,"Female",15,5.2,6
"724",11,36,3,"Male",15,5,5
"725",12,36,5,"Male",15,3.9,5
"726",13,36,3,"Female",15,5.4,4
"727",14,36,4,"Female",15,7.4,7
"728",15,36,7,"Male",15,4.3,5
"729",16,36,6,"Female",15,6.7,7
"730",17,36,5,"Male",15,4.4,5
"731",18,36,4,"Male",15,5.3,4
"732",19,36,4,"Male",15,5.3,4
"733",1,37,5,"Male",20,4.6,4
"734",2,37,5,"Female",20,6.9,5
"735",3,37,6,"Female",20,6.4,8
"736",4,37,6,"Female",20,6.7,7
"737",5,37,5,"Male",20,4.1,4
"738",6,37,6,"Male",20,4.6,6
"739",7,37,7,"Male",20,5.3,7
"740",8,37,5,"Female",20,7.1,7
"741",9,37,6,"Male",20,6,5
"742",10,37,6,"Male",20,4,2
"743",11,37,4,"Female",20,4.9,6
"744",12,37,4,"Male",20,4.1,4
"745",13,37,4,"Male",20,4.4,5
"746",14,37,5,"Male",20,4.8,5
"747",15,37,5,"Male",20,4.5,5
"748",16,37,4,"Male",20,3.6,4
"749",17,37,6,"Male",20,5.7,5
"750",18,37,7,"Female",20,6.8,7
"751",19,37,6,"Female",20,7.3,7
"752",1,38,5,"Male",18,3.5,4
"753",2,38,5,"Male",18,3.5,4
"754",3,38,5,"Male",18,4.9,5
"755",4,38,5,"Female",18,4.8,6
"756",5,38,5,"Female",18,5.8,6
"757",6,38,5,"Female",18,5.9,5
"758",7,38,4,"Female",18,5,4
"759",8,38,6,"Male",18,4.3,4
"760",9,38,4,"Female",18,4.6,5
"761",10,38,4,"Male",18,3.6,3
"762",11,38,4,"Male",18,3,2
"763",12,38,6,"Male",18,4.5,5
"764",13,38,4,"Male",18,3.9,4
"765",14,38,5,"Male",18,4.2,5
"766",15,38,5,"Female",18,6,6
"767",16,38,6,"Female",18,6.5,7
"768",17,38,5,"Male",18,3.4,4
"769",1,39,4,"Female",19,5.4,5
"770",2,39,4,"Female",19,5.6,5
"771",3,39,4,"Male",19,3.6,4
"772",4,39,6,"Male",19,4.7,4
"773",5,39,4,"Female",19,5.7,6
"774",6,39,4,"Female",19,4.8,5
"775",7,39,7,"Female",19,6.4,7
"776",8,39,5,"Female",19,4.9,6
"777",9,39,5,"Female",19,5.3,7
"778",10,39,5,"Female",19,5.5,5
"779",11,39,6,"Male",19,3.9,4
"780",12,39,5,"Male",19,5.1,5
"781",13,39,4,"Male",19,4.8,4
"782",14,39,3,"Female",19,4.6,4
"783",15,39,4,"Male",19,5.2,5
"784",16,39,6,"Female",19,6,7
"785",1,40,8,"Female",2,6.4,8
"786",2,40,8,"Female",2,5.1,4
"787",3,40,9,"Female",2,7.7,7
"788",4,40,9,"Female",2,7.4,6
"789",5,40,8,"Female",2,6.8,7
"790",6,40,10,"Female",2,6.8,8
"791",7,40,9,"Female",2,8.2,8
"792",8,40,10,"Female",2,7.6,7
"793",9,40,9,"Female",2,7.5,8
"794",10,40,8,"Female",2,6.5,6
"795",11,40,7,"Female",2,4.3,4
"796",12,40,10,"Female",2,7.7,7
"797",13,40,8,"Female",2,7.5,7
"798",14,40,9,"Female",2,6.5,7
"799",15,40,10,"Female",2,8.6,7
"800",16,40,9,"Female",2,5.4,4
"801",17,40,8,"Female",2,4.5,5
"802",18,40,6,"Female",2,3.8,4
"803",19,40,8,"Female",2,6.9,6
"804",20,40,8,"Female",2,6.6,5
"805",1,41,6,"Female",18,5,4
"806",2,41,3,"Male",18,3.4,3
"807",3,41,5,"Male",18,2.5,1
"808",4,41,5,"Female",18,5,6
"809",5,41,6,"Male",18,3.8,3
"810",6,41,5,"Male",18,3.4,3
"811",7,41,5,"Male",18,3,4
"812",8,41,5,"Female",18,4.4,4
"813",9,41,5,"Female",18,3.6,4
"814",10,41,4,"Female",18,4.2,4
"815",11,41,6,"Female",18,5.3,5
"816",12,41,5,"Male",18,2.9,2
"817",13,41,5,"Male",18,2.8,3
"818",14,41,6,"Male",18,3.7,4
"819",15,41,5,"Female",18,4.2,4
"820",16,41,4,"Female",18,3.2,3
"821",17,41,3,"Female",18,3.6,3
"822",18,41,5,"Female",18,4.1,4
"823",19,41,4,"Male",18,3.2,2
"824",1,42,3,"Female",12,5.3,6
"825",2,42,7,"Male",12,6.6,8
"826",3,42,5,"Male",12,4.1,5
"827",4,42,5,"Female",12,5.5,4
"828",5,42,5,"Male",12,4.8,5
"829",6,42,4,"Female",12,4.5,5
"830",7,42,3,"Male",12,3.9,5
"831",8,42,5,"Female",12,5.9,5
"832",9,42,5,"Female",12,5,5
"833",10,42,7,"Female",12,7.1,7
"834",11,42,7,"Male",12,5.2,5
"835",12,42,5,"Female",12,7,7
"836",13,42,6,"Female",12,7.3,6
"837",14,42,3,"Female",12,4.1,5
"838",15,42,6,"Male",12,5.5,5
"839",16,42,6,"Male",12,4.9,4
"840",17,42,6,"Female",12,7.2,6
"841",18,42,5,"Male",12,4.1,5
"842",19,42,5,"Female",12,4.4,5
"843",20,42,4,"Female",12,5.3,5
"844",21,42,4,"Female",12,3.6,4
"845",1,43,7,"Male",12,6.7,7
"846",2,43,5,"Female",12,4.2,4
"847",3,43,5,"Male",12,5.6,5
"848",4,43,4,"Female",12,4.7,5
"849",5,43,6,"Female",12,5.6,6
"850",6,43,4,"Female",12,6.2,6
"851",7,43,6,"Male",12,4.7,6
"852",8,43,5,"Male",12,5.4,4
"853",9,43,5,"Female",12,6.7,6
"854",10,43,5,"Male",12,4.8,5
"855",11,43,5,"Male",12,5.5,6
"856",12,43,4,"Male",12,5.6,5
"857",13,43,6,"Male",12,4.3,4
"858",14,43,5,"Male",12,5.2,5
"859",15,43,7,"Male",12,5.9,5
"860",16,43,4,"Male",12,4.5,4
"861",17,43,6,"Male",12,5.7,5
"862",1,44,5,"Male",14,4.2,4
"863",2,44,6,"Female",14,6.7,6
"864",3,44,6,"Female",14,6,5
"865",4,44,6,"Female",14,6,5
"866",5,44,5,"Male",14,4,4
"867",6,44,5,"Male",14,5.1,5
"868",7,44,4,"Female",14,4.9,4
"869",8,44,5,"Male",14,3.9,4
"870",9,44,6,"Male",14,4.5,5
"871",10,44,4,"Male",14,3.3,3
"872",11,44,6,"Male",14,4.3,5
"873",12,44,8,"Female",14,6.4,5
"874",13,44,5,"Female",14,5.2,4
"875",14,44,7,"Female",14,6.2,6
"876",15,44,7,"Female",14,5.7,6
"877",16,44,5,"Male",14,3.6,4
"878",17,44,6,"Male",14,5.1,6
"879",18,44,5,"Female",14,5.1,4
"880",19,44,5,"Male",14,3.7,3
"881",1,45,6,"Male",20,4.3,5
"882",2,45,6,"Female",20,7.9,7
"883",3,45,5,"Female",20,4.8,5
"884",4,45,7,"Female",20,7.7,7
"885",5,45,6,"Male",20,6.3,6
"886",6,45,4,"Male",20,4.9,5
"887",7,45,5,"Male",20,5.2,4
"888",8,45,3,"Female",20,7.9,7
"889",9,45,6,"Male",20,6.2,6
"890",10,45,6,"Female",20,6,7
"891",11,45,5,"Male",20,4.8,6
"892",12,45,5,"Male",20,6.2,6
"893",13,45,4,"Male",20,5.6,5
"894",14,45,6,"Male",20,5.1,5
"895",15,45,4,"Male",20,4.5,5
"896",16,45,5,"Male",20,5.5,5
"897",17,45,6,"Female",20,7.1,6
"898",18,45,5,"Male",20,4.8,6
"899",19,45,5,"Male",20,4.9,5
"900",1,46,4,"Female",18,5.5,5
"901",2,46,4,"Female",18,5.5,6
"902",3,46,6,"Female",18,6.1,7
"903",4,46,4,"Male",18,4,3
"904",5,46,4,"Male",18,3.5,5
"905",6,46,4,"Male",18,3.4,3
"906",7,46,6,"Female",18,6.2,6
"907",8,46,4,"Female",18,5.1,5
"908",9,46,4,"Male",18,3.5,4
"909",10,46,6,"Female",18,6.3,5
"910",11,46,5,"Female",18,6.1,6
"911",12,46,6,"Female",18,5.7,6
"912",13,46,6,"Female",18,3.9,5
"913",14,46,5,"Female",18,5.6,6
"914",15,46,4,"Male",18,3.6,4
"915",16,46,5,"Male",18,5.2,5
"916",17,46,8,"Female",18,8.4,7
"917",18,46,3,"Male",18,3.1,4
"918",19,46,2,"Female",18,5.1,5
"919",20,46,6,"Female",18,6.5,6
"920",21,46,3,"Female",18,4.5,5
"921",22,46,4,"Female",18,5.3,5
"922",23,46,4,"Male",18,3.7,4
"923",1,47,4,"Female",13,5.3,5
"924",2,47,8,"Male",13,5.5,5
"925",3,47,5,"Female",13,5.8,4
"926",4,47,5,"Male",13,3.7,4
"927",5,47,6,"Male",13,5.4,5
"928",6,47,4,"Female",13,4.9,4
"929",7,47,5,"Male",13,4.1,4
"930",8,47,6,"Female",13,5.5,6
"931",9,47,6,"Female",13,6.1,6
"932",10,47,4,"Female",13,3.9,5
"933",11,47,5,"Male",13,5.2,6
"934",12,47,5,"Female",13,4.4,4
"935",13,47,5,"Male",13,4.3,5
"936",14,47,5,"Male",13,3,4
"937",15,47,4,"Female",13,5.9,6
"938",16,47,4,"Female",13,4.4,4
"939",17,47,7,"Male",13,5.5,6
"940",1,48,6,"Female",6,5.8,6
"941",2,48,4,"Male",6,1.8,3
"942",3,48,7,"Male",6,5.5,5
"943",4,48,5,"Male",6,2.1,3
"944",5,48,6,"Male",6,3.6,4
"945",6,48,6,"Male",6,1.9,2
"946",7,48,4,"Female",6,4.4,5
"947",8,48,8,"Female",6,5.1,7
"948",9,48,4,"Male",6,2.5,2
"949",10,48,5,"Female",6,2.6,3
"950",11,48,5,"Male",6,3.6,4
"951",12,48,5,"Male",6,3.4,3
"952",13,48,6,"Female",6,6.1,6
"953",14,48,8,"Female",6,7.4,6
"954",15,48,7,"Male",6,5.2,4
"955",16,48,6,"Female",6,4.5,5
"956",17,48,6,"Female",6,5.3,5
"957",18,48,5,"Male",6,4,4
"958",19,48,5,"Male",6,4.2,3
"959",1,49,4,"Female",7,5.4,5
"960",2,49,6,"Female",7,5.7,6
"961",3,49,4,"Male",7,3.2,3
"962",4,49,7,"Female",7,6.3,7
"963",5,49,5,"Female",7,4.2,4
"964",6,49,5,"Male",7,4.4,3
"965",7,49,5,"Female",7,5,4
"966",8,49,6,"Male",7,4.3,4
"967",9,49,5,"Male",7,4.2,4
"968",10,49,5,"Female",7,4.7,5
"969",11,49,5,"Female",7,4.1,5
"970",12,49,6,"Female",7,5.4,6
"971",13,49,6,"Female",7,5.2,6
"972",14,49,5,"Male",7,4.8,3
"973",15,49,6,"Female",7,4.9,4
"974",16,49,5,"Male",7,4.5,5
"975",17,49,6,"Male",7,3.5,3
"976",18,49,8,"Female",7,6.9,7
"977",19,49,4,"Male",7,5.3,4
"978",20,49,5,"Male",7,3.4,4
"979",1,50,4,"Male",25,5.2,6
"980",2,50,6,"Female",25,6.7,7
"981",3,50,5,"Female",25,6.8,7
"982",4,50,5,"Male",25,5.6,5
"983",5,50,6,"Male",25,5.6,6
"984",6,50,2,"Female",25,6.5,6
"985",7,50,5,"Male",25,5.1,5
"986",8,50,5,"Male",25,7,6
"987",9,50,7,"Male",25,6.4,6
"988",10,50,5,"Male",25,6.4,6
"989",11,50,6,"Female",25,7.4,7
"990",12,50,5,"Male",25,5.8,6
"991",13,50,4,"Female",25,6.7,6
"992",14,50,5,"Male",25,5.3,6
"993",15,50,5,"Male",25,5.4,7
"994",16,50,5,"Female",25,7.2,6
"995",17,50,5,"Male",25,5,5
"996",18,50,6,"Female",25,6.3,6
"997",19,50,5,"Female",25,7.6,6
"998",20,50,4,"Female",25,5.9,7
"999",1,51,5,"Male",16,4.2,5
"1000",2,51,4,"Female",16,4.9,4
"1001",3,51,5,"Male",16,3.1,3
"1002",4,51,6,"Female",16,5.1,6
"1003",5,51,5,"Female",16,5,4
"1004",6,51,4,"Female",16,5.5,6
"1005",7,51,5,"Female",16,3.7,5
"1006",8,51,5,"Male",16,3.2,2
"1007",9,51,5,"Female",16,5,6
"1008",10,51,5,"Female",16,4.8,4
"1009",11,51,5,"Male",16,2.4,3
"1010",12,51,6,"Male",16,4.1,4
"1011",13,51,3,"Male",16,2.4,4
"1012",14,51,5,"Female",16,5.9,5
"1013",15,51,5,"Female",16,4.3,5
"1014",16,51,6,"Male",16,4,4
"1015",17,51,5,"Female",16,5.3,6
"1016",18,51,5,"Female",16,4.3,4
"1017",19,51,5,"Male",16,4,3
"1018",20,51,3,"Male",16,3.9,3
"1019",21,51,5,"Female",16,6.3,6
"1020",22,51,6,"Female",16,5.8,6
"1021",23,51,5,"Male",16,3.9,4
"1022",1,52,6,"Female",7,6,6
"1023",2,52,3,"Male",7,4.4,4
"1024",3,52,6,"Female",7,5.6,5
"1025",4,52,5,"Female",7,6.1,6
"1026",5,52,4,"Female",7,5,5
"1027",6,52,4,"Male",7,2.9,2
"1028",7,52,6,"Male",7,3.4,5
"1029",8,52,6,"Male",7,3.2,3
"1030",9,52,5,"Female",7,4.7,6
"1031",10,52,5,"Female",7,5.1,5
"1032",11,52,6,"Female",7,5.4,6
"1033",12,52,5,"Male",7,4.2,4
"1034",13,52,2,"Male",7,1.9,2
"1035",14,52,5,"Male",7,4.4,4
"1036",15,52,5,"Male",7,4.5,5
"1037",16,52,5,"Male",7,3.6,4
"1038",17,52,7,"Female",7,5.4,7
"1039",18,52,5,"Male",7,3.9,2
"1040",19,52,5,"Female",7,3.4,4
"1041",20,52,6,"Male",7,4.5,4
"1042",21,52,6,"Female",7,6,7
"1043",22,52,6,"Female",7,3.6,5
"1044",23,52,6,"Male",7,4.2,4
"1045",1,53,3,"Female",21,6.8,7
"1046",2,53,5,"Female",21,7.2,8
"1047",3,53,4,"Female",21,6.2,6
"1048",4,53,5,"Female",21,7.5,8
"1049",5,53,4,"Female",21,7.1,7
"1050",6,53,5,"Female",21,6.7,6
"1051",7,53,7,"Female",21,7,8
"1052",8,53,5,"Female",21,6.5,7
"1053",9,53,6,"Female",21,8.4,7
"1054",10,53,4,"Female",21,6.2,6
"1055",11,53,1,"Female",21,5.3,5
"1056",12,53,4,"Female",21,5.3,5
"1057",13,53,4,"Female",21,5.5,6
"1058",14,53,5,"Female",21,7.4,8
"1059",15,53,5,"Female",21,6.9,7
"1060",16,53,6,"Female",21,7.5,7
"1061",17,53,6,"Female",21,6.8,7
"1062",18,53,5,"Female",21,5.1,6
"1063",19,53,4,"Female",21,6.6,7
"1064",1,54,4,"Female",16,6,6
"1065",2,54,6,"Male",16,4.7,4
"1066",3,54,5,"Male",16,5.6,5
"1067",4,54,5,"Male",16,3.6,3
"1068",5,54,6,"Male",16,3.4,4
"1069",6,54,4,"Male",16,4.7,4
"1070",7,54,5,"Female",16,6.6,6
"1071",8,54,5,"Male",16,4.6,5
"1072",9,54,7,"Male",16,4.5,5
"1073",10,54,4,"Male",16,5.5,4
"1074",11,54,5,"Female",16,5.3,5
"1075",12,54,6,"Male",16,5.4,6
"1076",13,54,5,"Male",16,4.8,5
"1077",14,54,5,"Female",16,5.6,5
"1078",15,54,6,"Female",16,6,7
"1079",16,54,6,"Female",16,6.8,7
"1080",17,54,4,"Male",16,3.8,4
"1081",18,54,6,"Female",16,6.7,7
"1082",19,54,4,"Female",16,5.8,5
"1083",1,55,5,"Male",7,2.7,3
"1084",2,55,6,"Male",7,5,4
"1085",3,55,6,"Male",7,4.4,4
"1086",4,55,5,"Male",7,2.2,2
"1087",5,55,5,"Male",7,4.5,5
"1088",6,55,3,"Male",7,2.4,3
"1089",7,55,6,"Male",7,2.7,3
"1090",8,55,6,"Male",7,3.8,5
"1091",9,55,5,"Male",7,4.5,5
"1092",10,55,7,"Male",7,4.5,3
"1093",11,55,7,"Male",7,4.1,4
"1094",12,55,6,"Male",7,3.4,4
"1095",13,55,5,"Male",7,2.4,3
"1096",14,55,5,"Male",7,4.1,4
"1097",15,55,6,"Male",7,5,5
"1098",16,55,6,"Male",7,3.8,4
"1099",17,55,4,"Male",7,3.9,3
"1100",18,55,7,"Male",7,3.4,3
"1101",19,55,6,"Male",7,4.4,4
"1102",20,55,5,"Male",7,2.3,3
"1103",21,55,4,"Male",7,2,2
"1104",1,56,5,"Male",12,4.9,5
"1105",2,56,4,"Male",12,2.4,5
"1106",3,56,6,"Female",12,4.4,5
"1107",4,56,4,"Male",12,3.4,4
"1108",5,56,6,"Male",12,3.9,3
"1109",6,56,5,"Female",12,4.4,5
"1110",7,56,5,"Female",12,6.1,6
"1111",8,56,3,"Male",12,3.9,3
"1112",9,56,6,"Male",12,6.3,6
"1113",10,56,4,"Female",12,4.9,4
"1114",11,56,6,"Female",12,5.9,8
"1115",12,56,5,"Female",12,6,8
"1116",13,56,5,"Female",12,6.5,5
"1117",14,56,5,"Male",12,4,3
"1118",15,56,4,"Male",12,4,4
"1119",16,56,4,"Female",12,5.7,5
"1120",17,56,6,"Male",12,3.6,4
"1121",18,56,5,"Male",12,3.9,5
"1122",19,56,5,"Female",12,6,6
"1123",1,57,6,"Female",4,4.8,3
"1124",2,57,8,"Female",4,6.7,6
"1125",3,57,6,"Male",4,2.8,3
"1126",4,57,7,"Male",4,4.9,5
"1127",5,57,7,"Female",4,5.4,5
"1128",6,57,6,"Female",4,3.9,5
"1129",7,57,5,"Male",4,2.1,2
"1130",8,57,5,"Female",4,3.1,3
"1131",9,57,5,"Female",4,3.5,2
"1132",10,57,6,"Male",4,2.1,3
"1133",11,57,5,"Female",4,5,4
"1134",12,57,7,"Female",4,4.8,6
"1135",13,57,4,"Male",4,2.2,2
"1136",14,57,7,"Female",4,5.1,7
"1137",15,57,2,"Male",4,1.2,2
"1138",16,57,7,"Female",4,4.9,5
"1139",17,57,8,"Male",4,4.8,5
"1140",18,57,5,"Female",4,3,3
"1141",1,58,4,"Male",22,5.7,6
"1142",2,58,6,"Female",22,6.5,7
"1143",3,58,5,"Female",22,6.4,5
"1144",4,58,6,"Female",22,8.1,8
"1145",5,58,6,"Male",22,5.1,6
"1146",6,58,3,"Male",22,4.1,4
"1147",7,58,6,"Female",22,6.3,6
"1148",8,58,3,"Male",22,5.2,5
"1149",9,58,4,"Female",22,7,7
"1150",10,58,5,"Male",22,5.6,6
"1151",11,58,6,"Female",22,6.5,7
"1152",12,58,2,"Male",22,4,5
"1153",13,58,6,"Female",22,7,7
"1154",14,58,4,"Male",22,4.5,4
"1155",15,58,5,"Female",22,6.7,7
"1156",16,58,5,"Female",22,7.5,7
"1157",17,58,4,"Female",22,7,7
"1158",18,58,5,"Female",22,7,7
"1159",19,58,5,"Male",22,5.7,6
"1160",20,58,3,"Male",22,4.6,4
"1161",1,59,6,"Male",5,2.9,4
"1162",2,59,5,"Female",5,4.8,5
"1163",3,59,6,"Female",5,5.8,6
"1164",4,59,5,"Male",5,3.1,3
"1165",5,59,5,"Male",5,4.3,4
"1166",6,59,6,"Male",5,4.1,3
"1167",7,59,5,"Male",5,2.8,3
"1168",8,59,6,"Female",5,5,6
"1169",9,59,5,"Female",5,5.1,4
"1170",10,59,7,"Male",5,4.7,6
"1171",11,59,6,"Male",5,3.4,4
"1172",12,59,4,"Male",5,1.8,3
"1173",13,59,4,"Female",5,4.1,4
"1174",14,59,6,"Female",5,6.1,7
"1175",15,59,6,"Female",5,4.6,5
"1176",16,59,5,"Male",5,3.9,4
"1177",17,59,6,"Male",5,4.8,4
"1178",1,60,5,"Male",3,2.8,3
"1179",2,60,8,"Female",3,6.4,7
"1180",3,60,9,"Male",3,5.6,6
"1181",4,60,7,"Female",3,5.7,6
"1182",5,60,6,"Female",3,5.5,5
"1183",6,60,7,"Male",3,4,3
"1184",7,60,8,"Female",3,5.3,6
"1185",8,60,5,"Female",3,3.7,5
"1186",9,60,6,"Male",3,4.5,3
"1187",10,60,7,"Male",3,3,3
"1188",11,60,8,"Female",3,6,5
"1189",12,60,7,"Male",3,3.6,4
"1190",13,60,6,"Female",3,5.7,5
"1191",14,60,7,"Female",3,5.1,6
"1192",16,60,7,"Female",3,6.1,6
"1193",17,60,7,"Female",3,5.9,5
"1194",18,60,7,"Male",3,4.2,5
"1195",19,60,4,"Male",3,1.6,2
"1196",20,60,5,"Male",3,2.7,2
"1197",21,60,6,"Female",3,3.3,6
"1198",22,60,4,"Male",3,1.4,2
"1199",1,61,3,"Female",23,6.2,6
"1200",2,61,6,"Male",23,5.9,5
"1201",3,61,4,"Female",23,5.6,7
"1202",4,61,3,"Female",23,4.8,5
"1203",5,61,4,"Female",23,5.5,5
"1204",6,61,5,"Male",23,5.5,5
"1205",7,61,4,"Female",23,4.4,6
"1206",8,61,6,"Female",23,7.1,7
"1207",9,61,4,"Male",23,4.3,5
"1208",10,61,4,"Female",23,6.3,7
"1209",11,61,5,"Female",23,8.2,7
"1210",12,61,3,"Male",23,4.4,5
"1211",13,61,6,"Female",23,7.5,7
"1212",14,61,5,"Female",23,5.3,7
"1213",15,61,4,"Male",23,5.9,5
"1214",16,61,5,"Male",23,6.4,6
"1215",17,61,4,"Female",23,5.7,5
"1216",18,61,4,"Male",23,5.1,6
"1217",19,61,5,"Male",23,5.7,6
"1218",1,62,5,"Female",25,6.6,7
"1219",2,62,5,"Male",25,5,5
"1220",3,62,5,"Male",25,4.9,4
"1221",4,62,6,"Male",25,5.4,4
"1222",5,62,3,"Male",25,4.9,4
"1223",6,62,4,"Female",25,5.8,5
"1224",7,62,5,"Female",25,8.4,6
"1225",8,62,4,"Female",25,6.5,6
"1226",9,62,4,"Female",25,4.8,6
"1227",10,62,6,"Female",25,6.7,6
"1228",11,62,4,"Female",25,6,7
"1229",12,62,6,"Female",25,5.2,5
"1230",13,62,4,"Male",25,4.7,5
"1231",14,62,6,"Male",25,5.4,5
"1232",15,62,5,"Male",25,4.7,5
"1233",16,62,5,"Female",25,6.9,7
"1234",17,62,4,"Male",25,5.2,6
"1235",18,62,5,"Male",25,4.8,6
"1236",19,62,5,"Female",25,7.5,6
"1237",20,62,5,"Male",25,4.8,4
"1238",1,63,6,"Female",15,7.7,7
"1239",2,63,5,"Male",15,4.8,5
"1240",3,63,3,"Female",15,5.1,6
"1241",4,63,4,"Male",15,3.4,4
"1242",5,63,6,"Male",15,5.5,5
"1243",6,63,5,"Male",15,4.6,5
"1244",7,63,7,"Male",15,4.8,5
"1245",8,63,5,"Female",15,5.3,6
"1246",9,63,5,"Male",15,4.6,5
"1247",10,63,5,"Female",15,5.4,6
"1248",11,63,6,"Male",15,6.1,6
"1249",12,63,5,"Female",15,5.8,4
"1250",13,63,7,"Male",15,5.5,5
"1251",14,63,5,"Male",15,4.6,5
"1252",15,63,6,"Female",15,6.4,6
"1253",16,63,5,"Female",15,6.5,7
"1254",17,63,4,"Male",15,4.2,3
"1255",18,63,4,"Female",15,4.6,6
"1256",19,63,4,"Male",15,3.1,4
"1257",20,63,4,"Female",15,6.8,6
"1258",21,63,7,"Female",15,7.1,7
"1259",22,63,4,"Female",15,5.5,5
"1260",23,63,5,"Female",15,6.9,6
"1261",24,63,4,"Male",15,4.6,4
"1262",25,63,4,"Male",15,4,4
"1263",1,64,2,"Female",25,6.3,6
"1264",2,64,4,"Female",25,6.9,7
"1265",3,64,4,"Female",25,5.6,7
"1266",4,64,5,"Female",25,8.8,8
"1267",5,64,3,"Female",25,5.7,6
"1268",6,64,3,"Female",25,8.2,8
"1269",7,64,5,"Female",25,8.1,8
"1270",8,64,5,"Female",25,6.6,7
"1271",9,64,6,"Female",25,6.9,7
"1272",11,64,6,"Female",25,5.7,6
"1273",12,64,5,"Female",25,8.8,8
"1274",13,64,2,"Female",25,7.6,7
"1275",14,64,7,"Female",25,9.1,8
"1276",15,64,5,"Female",25,7.7,8
"1277",16,64,5,"Female",25,6,7
"1278",17,64,5,"Female",25,7.4,7
"1279",18,64,3,"Female",25,5.6,6
"1280",19,64,6,"Female",25,8.9,9
"1281",20,64,6,"Female",25,6.4,7
"1282",1,65,5,"Male",22,6,6
"1283",2,65,3,"Male",22,6.6,7
"1284",3,65,4,"Male",22,5.3,6
"1285",4,65,5,"Female",22,6.4,6
"1286",5,65,4,"Female",22,5.6,7
"1287",6,65,5,"Female",22,6.8,6
"1288",7,65,5,"Male",22,5.3,5
"1289",8,65,4,"Male",22,5.1,6
"1290",9,65,7,"Male",22,5.3,5
"1291",10,65,5,"Female",22,6.4,7
"1292",11,65,5,"Female",22,8.5,7
"1293",12,65,6,"Male",22,5.7,6
"1294",13,65,4,"Male",22,5.2,6
"1295",14,65,4,"Female",22,7.5,8
"1296",15,65,5,"Male",22,6.7,5
"1297",16,65,5,"Female",22,7.3,7
"1298",17,65,4,"Male",22,5.1,6
"1299",18,65,5,"Male",22,4.7,5
"1300",19,65,3,"Male",22,5.1,4
"1301",20,65,5,"Female",22,7.4,7
"1302",21,65,4,"Female",22,7.9,7
"1303",22,65,6,"Female",22,7,7
"1304",1,66,7,"Female",8,7.5,7
"1305",2,66,7,"Female",8,6.9,8
"1306",3,66,5,"Male",8,4.5,5
"1307",4,66,5,"Male",8,4,4
"1308",5,66,5,"Female",8,6.2,6
"1309",6,66,5,"Female",8,5.2,4
"1310",7,66,6,"Female",8,7,6
"1311",8,66,6,"Female",8,6.3,7
"1312",9,66,5,"Female",8,5.5,6
"1313",10,66,6,"Female",8,6.6,7
"1314",11,66,6,"Male",8,4.6,5
"1315",12,66,5,"Female",8,5.3,6
"1316",13,66,4,"Female",8,6.4,7
"1317",14,66,5,"Female",8,6.5,6
"1318",15,66,7,"Female",8,7.4,7
"1319",16,66,6,"Male",8,6.7,6
"1320",17,66,4,"Male",8,4.9,4
"1321",18,66,4,"Male",8,5.1,4
"1322",19,66,7,"Female",8,8.6,8
"1323",20,66,5,"Male",8,4.5,4
"1324",1,67,6,"Female",23,5.9,6
"1325",2,67,8,"Female",23,8.1,7
"1326",3,67,6,"Female",23,5.9,5
